Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,8,6,15
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,37,3330,37,1,2,3,1,0,0,6,0,2.4,2.4,1,3.4,40,215,10
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58,151,111
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33,165,44
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,28,2342,26,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13,143,14
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2,15,8
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,19,8,806,9,2,1,3,1,1,2,1,0,3.6,2,0.7,2.7,14,8,49
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1,4,2,11
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,24,2189,24.3,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35,54,141
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,25,2425,26.9,0,2,2,0,0,0,4,0,1,1,1.1,2.1,39,100,32
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,2,3,1
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,30,21,1912,21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,24,2156,24,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,25,23,2085,23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,3,1
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,24,20,1386,15.4,6,5,11,6,0,1,9,0,5,4.3,3.7,8,49,47,131
26,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,22,2000,26,16,1435,15.9,5,3,8,5,0,0,2,2,5,5,1.7,6.7,46,49,137
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,32,18,1542,17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14,46,85
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2,22,8,54
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,29,27,2388,26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15,131,8
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9,93,10
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,2
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,34,18,1888,21,1,2,3,1,0,0,4,0,1,1,2.2,3.2,29,139,50
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,34,23,2131,23.7,0,1,1,0,0,0,5,0,1.5,1.5,3,4.5,81,110,100
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,20,14,1172,13,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29,102,78
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,8,0,94,1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,30,16,1300,14.4,3,1,4,3,0,0,4,1,1.2,1.2,0.9,2.1,25,50,37
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,1,1,0.1,1.1,15,95,2
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35,43,43
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,21,9,1076,12,1,0,1,1,0,0,4,0,0.7,0.7,1,1.7,30,43,76
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,23,17,1653,18.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,46,7
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0.1,10,31,12
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,3.5,2,13,55
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,17,15,1211,13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5,31,85
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2,3.5,60,58,84
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,9,16,42
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,12,3,447,5,0,0,0,0,0,0,3,0,0.2,0.2,0,0.2,1,10,1
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,24,16,1356,15.1,1,1,2,1,0,0,9,2,1.5,1.5,1,2.4,19,39,37
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60
58,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,
59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0,0,0.1,0.1,2,9,6
60,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0,1.5,2,8,17
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7,42,141,157
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,35,27,2442,27.1,6,7,13,5,1,2,4,0,4.4,2.7,7,9.7,73,248,94
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.1,0.1,0,0.1,12,100,3
64,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24
66,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,31,22,2043,22.7,3,0,3,1,2,3,11,1,4,1.6,1.3,2.9,30,105,20
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28,96,8
69,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,31,13,1311,14.6,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52,16,103
70,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6,4,406,4.5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0
71,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,35,26,2119,23.5,2,2,4,2,0,0,12,1,2.3,2.3,1.6,3.9,24,87,78
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139
73,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11
75,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,1.8,1.8,1.7,3.4,30,8,63
76,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,15,0,182,2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24
77,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,37,3330,37,0,1,1,0,0,0,1,0,0,0,0.3,0.3,0,3,0
78,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,36,25,2244,24.9,1,1,2,1,0,0,2,0,2.5,2.5,2,4.5,82,59,141
79,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,34,29,2539,28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71
81,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,34,29,2491,27.7,11,2,13,11,0,0,2,0,8,8,3.2,11.1,77,124,264
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,24,11,1172,13,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.5,0.5,0.7,1.2,30,51,34
84,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0
85,Carlos Álvarez,es ESP,MF,Sevilla,es La Liga,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11,38,27
87,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,31,13,1465,16.3,9,0,9,8,1,1,0,0,7,6.2,1.8,8,38,37,99
88,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8
90,Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,0,5,5
91,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,7,3,267,3,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11,10,9
92,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5
93,Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,28,12,1227,13.6,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33,16,69
