Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-100,2000,15,12,1086,12.1,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,19,40,22
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,23-174,2000,25,10,927,10.3,2,0,2,2,0,0,3,1,1.7,1.7,1.2,2.9,26,31,56
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-231,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-198,1987,25,25,2241,24.9,3,0,3,3,0,0,4,0,2.4,2.4,0.3,2.7,33,117,7
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,24-018,2000,25,17,1507,16.7,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,8,77,20
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-072,1993,28,28,2477,27.5,1,1,2,1,0,0,3,0,0.9,0.9,2.0,2.9,33,160,47
7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-016,2003,17,7,647,7.2,3,0,3,3,0,0,1,0,1.7,1.7,1.6,3.3,14,12,59
8,Abner,br BRA,DF,Betis,es La Liga,23-322,2000,19,14,1256,14.0,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,13,30,57
9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-055,2000,8,4,429,4.8,3,0,3,2,1,1,1,0,2.2,1.4,0.2,1.6,14,13,46
10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-034,1999,21,21,1817,20.2,0,0,0,0,0,0,9,0,0.3,0.3,0.0,0.4,5,42,0
11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26-194,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0
12,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-063,1988,25,22,2028,22.5,2,1,3,2,0,0,1,0,1.1,1.1,1.7,2.8,17,67,20
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,32-168,1991,15,13,908,10.1,0,1,1,0,0,0,5,0,0.2,0.2,0.7,0.9,18,45,27
14,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,21-135,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14
15,Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,21-135,2002,8,2,280,3.1,0,1,1,0,0,0,0,1,0.2,0.2,0.9,1.0,16,8,30
16,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24-075,2000,26,22,1849,20.5,7,0,7,7,0,0,2,0,11.0,11.0,1.1,12.1,33,14,107
17,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25-059,1999,2,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,1
18,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22-312,2001,13,0,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5
19,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30-326,1993,15,5,585,6.5,1,2,3,1,0,0,1,0,3.1,3.1,1.6,4.7,15,14,31
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,26-202,1997,18,16,1437,16.0,2,0,2,2,0,0,1,0,0.7,0.7,0.1,0.8,10,60,5
